term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
factor(occ_f)13,0.14666933741691643,0.31386889030848614,0.46729491818307456,0.6405439822505681,471,0.2773201334324358,B,female
factor(wu_f)2,0.31650746507769006,0.17104639827681234,1.8504187651205102,0.0649922403132431,471,0.2773201334324358,B,female
factor(wu_f)3,0.20219828767396442,0.18438475161301138,1.0966106790562609,0.2734730232225676,471,0.2773201334324358,B,female
factor(wu_f)4,-0.12436722260571813,0.21362229457073512,-0.5821827860038146,0.5607723768351833,471,0.2773201334324358,B,female
factor(wu_f)5,-0.10624059819787224,0.22065615723759896,-0.4814757925992253,0.6304423316831282,471,0.2773201334324358,B,female
factor(wu_f)7,0.019657104726172575,0.18789733379365006,0.10461619826793349,0.916732928624942,471,0.2773201334324358,B,female
factor(wu_f)8,0.21090914833592542,0.21329431013582734,0.988817508547776,0.32335168733438713,471,0.2773201334324358,B,female
factor(wu_f)9,0.089289072387214,0.2654287682207122,0.336395609962547,0.7367494049842402,471,0.2773201334324358,B,female
calories,-5.251987218741299e-4,5.342049341468387e-4,-0.9831409039920375,0.326133860283393,471,0.2773201334324358,B,female
carbs,0.0013085735465805939,0.002201984209971074,0.5942701771679751,0.552668218296047,471,0.2773201334324358,B,female
fat,0.005042788048239836,0.004802567051954868,1.0500192904515901,0.29434480087825726,471,0.2773201334324358,B,female
protein,0.0047644773851100546,0.0030152901301768002,1.5801057873096582,0.11487502491410476,471,0.2773201334324358,B,female
diet_guide,-0.10922265621464564,0.06503526858101458,-1.6794373052920775,0.09384966456118282,471,0.2773201334324358,B,female
diet_hifat,0.023576782878310543,0.1287417801936045,0.1831323354613809,0.8547872047049001,471,0.2773201334324358,B,female
diet_hlthy,0.5208182520960883,0.5262638258633552,0.9896523882135863,0.3229438162991941,471,0.2773201334324358,B,female
province_f21:cohort_f3,0.2897424711050626,0.2379575791208642,1.2176223685562697,0.22408710981216973,471,0.2773201334324358,B,female
province_f23:cohort_f3,-0.14207907350536972,0.16619094134325207,-0.8549146683748453,0.39311142377988106,471,0.2773201334324358,B,female
province_f32:cohort_f3,0.10550307689758799,0.27028833656852336,0.39033529243997145,0.6964969318305598,471,0.2773201334324358,B,female
province_f37:cohort_f3,-1.0348359211742,0.8184976290621657,-1.2643114462773883,0.20685631075529984,471,0.2773201334324358,B,female
province_f41:cohort_f3,0.6967732464461207,0.32307168658689744,2.1567140525596873,0.031624716203390024,471,0.2773201334324358,B,female
province_f42:cohort_f3,-0.07780309460980185,0.26728794465482475,-0.29108344078247395,0.7711387564177393,471,0.2773201334324358,B,female
province_f43:cohort_f3,0.14744135019682697,0.1869835511700135,0.7885257781994254,0.43085746807027236,471,0.2773201334324358,B,female
province_f45:cohort_f3,-0.2160965339715441,0.2688511012694078,-0.803777752634162,0.4220039357638301,471,0.2773201334324358,B,female
province_f52:cohort_f3,0.3722908902906793,0.2704540423923774,1.3765403060626322,0.1694263692472816,471,0.2773201334324358,B,female
province_f21:cohort_f4,0.4733687808168468,0.2218707782885215,2.1335336923065933,0.033490388329987936,471,0.2773201334324358,B,female
province_f23:cohort_f4,0.11293946441270182,0.156731725955281,0.7205909570913928,0.4715831686740808,471,0.2773201334324358,B,female
province_f32:cohort_f4,0.3365235568083038,0.2540478974146384,1.3246461011210602,0.18604673680561873,471,0.2773201334324358,B,female
province_f37:cohort_f4,-0.7976085802161788,0.8278459030515513,-0.9634746965299777,0.33589290745631795,471,0.2773201334324358,B,female
province_f41:cohort_f4,0.9228714019455665,0.32786318092422084,2.814806466966079,0.005122471905714776,471,0.2773201334324358,B,female
province_f42:cohort_f4,0.009560767226012989,0.2725619201648631,0.03507741367623921,0.9720355530312328,471,0.2773201334324358,B,female
province_f43:cohort_f4,0.7824786908716781,0.27246020938474985,2.871900791086579,0.004297769584200819,471,0.2773201334324358,B,female
province_f45:cohort_f4,0.007367149622132564,0.28637984842942443,0.025725097846569074,0.979489466189144,471,0.2773201334324358,B,female
province_f52:cohort_f4,0.2576435034404614,0.22783316829459815,1.1308428240233976,0.2588005141855484,471,0.2773201334324358,B,female
province_f21:cohort_f5,0.7720575816721587,0.3413784055845687,2.261588808905779,0.024260391578743344,471,0.2773201334324358,B,female
province_f23:cohort_f5,0.0041473688670849,0.24287813123221771,0.017075925469467516,0.9863845800931965,471,0.2773201334324358,B,female
province_f32:cohort_f5,0.44504110768898286,0.3216896193710964,1.3834487682849037,0.16730083564793594,471,0.2773201334324358,B,female
province_f37:cohort_f5,-0.7737675292484955,0.8583421955001523,-0.9014674255849957,0.3678836643169805,471,0.2773201334324358,B,female
