term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
province_f43,0.1428153868934506,0.08340400298233236,1.7123325234605764,0.08731829342266681,684,0.14745021270645087,A,3,male
province_f45,-0.20278786336861257,0.08058603759649573,-2.5164143742120255,0.012098246194020517,684,0.14745021270645087,A,3,male
province_f52,0.022275332265401186,0.08748865633638517,0.25460823377781405,0.7991072315139545,684,0.14745021270645087,A,3,male
age,0.005838851808310225,0.003281324678457845,1.7794191006585685,0.07564407401008508,684,0.14745021270645087,A,3,male
smoke,0.04059073826985564,0.0440328809883819,0.9218279013032449,0.35696463168478265,684,0.14745021270645087,A,3,male
drink,-0.025000890004553883,0.04753230205356389,-0.5259768394213374,0.5990859353468724,684,0.14745021270645087,A,3,male
factor(occ_f)2,0.04126612834978954,0.09855573680804924,0.4187085367761083,0.6755691934693334,684,0.14745021270645087,A,3,male
factor(occ_f)3,0.05864567338431184,0.0913669449716772,0.6418696980892968,0.5211868988597219,684,0.14745021270645087,A,3,male
factor(occ_f)4,-0.14264031189487017,0.07659722620122575,-1.8622124973578686,0.06302977868179449,684,0.14745021270645087,A,3,male
factor(occ_f)5,-0.6278101437855561,0.29334925773598813,-2.1401456701505617,0.032719212365168955,684,0.14745021270645087,A,3,male
factor(occ_f)6,-0.15306166824262105,0.09651699590540476,-1.585851971528777,0.11326529179924437,684,0.14745021270645087,A,3,male
factor(occ_f)7,-0.2500097004647208,0.10638218803686537,-2.3501086514415666,0.019069716835931328,684,0.14745021270645087,A,3,male
factor(occ_f)8,0.11667207165750852,0.22569411618914517,0.5169477770511764,0.6053706527501701,684,0.14745021270645087,A,3,male
factor(occ_f)9,0.07125774174433126,0.12588273587841967,0.5660644507532278,0.5715477718034807,684,0.14745021270645087,A,3,male
factor(occ_f)10,-0.24926837540375515,0.09972652817055426,-2.4995192350169004,0.012684730030843208,684,0.14745021270645087,A,3,male
factor(occ_f)11,-0.36450359624078355,0.10519474894578974,-3.4650360392858017,5.654718841467405e-4,684,0.14745021270645087,A,3,male
factor(occ_f)12,-0.9731166272763916,0.3172645065079805,-3.0672092443845864,0.002251561594735197,684,0.14745021270645087,A,3,male
factor(occ_f)13,-0.22898637040878994,0.27114208673618784,-0.8445253673642558,0.39869048669812845,684,0.14745021270645087,A,3,male
factor(wu_f)2,-0.019216572842490155,0.07726399833355567,-0.24871315563466534,0.8036622125077468,684,0.14745021270645087,A,3,male
factor(wu_f)3,0.04406063798913113,0.09277493205278538,0.4749196470880983,0.635005763262177,684,0.14745021270645087,A,3,male
factor(wu_f)4,-0.26863043378534895,0.10833488354218748,-2.4796300600696135,0.013407364293103926,684,0.14745021270645087,A,3,male
factor(wu_f)5,-0.23325535111629858,0.11120721613618113,-2.0974839513171597,0.03634120093754356,684,0.14745021270645087,A,3,male
factor(wu_f)7,0.2150816741884758,0.09232000012716839,2.329740835054229,0.02012899696029329,684,0.14745021270645087,A,3,male
factor(wu_f)8,0.13999060890310785,0.09739316791665376,1.4373760695709965,0.1510983604135529,684,0.14745021270645087,A,3,male
factor(wu_f)9,0.2553190601841624,0.2891629074613198,0.8829592371501364,0.3775887920654831,684,0.14745021270645087,A,3,male
(Intercept),5.802941531075482,0.7785803455278826,7.453234036033943,3.042648886688499e-13,672,0.17014106863814893,A,4,male
height,0.001530060059403963,0.003930881151131281,0.3892409870910552,0.6972302573335414,672,0.17014106863814893,A,4,male
bmi_under,-0.09268870247078065,0.05322491680646856,-1.7414532146251462,0.08209539505087443,672,0.17014106863814893,A,4,male
bmi_over,-0.008520247542244048,0.04843689798931667,-0.17590407098578628,0.8604261933961044,672,0.17014106863814893,A,4,male
edu_years,0.04085020774631237,0.009075816085329397,4.500995542686756,8.065936615486025e-6,672,0.17014106863814893,A,4,male
hlth_exc,0.17131731294466201,0.10117738763622763,1.6932371644207191,0.09090784029820922,672,0.17014106863814893,A,4,male
hlth_good,0.13767499558001872,0.08546626205118495,1.6108695089246614,0.10771223735991575,672,0.17014106863814893,A,4,male
hlth_fair,0.1152212883039211,0.09524743746554011,1.2097048631424587,0.2268487891702784,672,0.17014106863814893,A,4,male
married,0.05326812530690878,0.08811999163304694,0.6044953513923401,0.5457333847828374,672,0.17014106863814893,A,4,male
divorced,-0.05160915210772658,0.12247192176682122,-0.42139578903634045,0.6736107453951508,672,0.17014106863814893,A,4,male
widowed,-0.13023160912164444,0.226660988189305,-0.574565610791727,0.5657915282476891,672,0.17014106863814893,A,4,male
separated,-0.175053250816803,0.14194386906095088,-1.2332568639624366,0.21794282590174527,672,0.17014106863814893,A,4,male
