term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,model,gender
factor(wu_f)3,0.13213662221657566,0.14411519392971572,0.9168819651383743,0.35972448108869715,471,0.19995808764356426,A,5,female
factor(wu_f)4,-0.12701614346485152,0.1659100848165773,-0.76557216883636,0.4443558521057066,471,0.19995808764356426,A,5,female
factor(wu_f)5,-0.08789646923697819,0.1654568554854805,-0.531234979530307,0.5955334751674788,471,0.19995808764356426,A,5,female
factor(wu_f)7,0.09917911517886996,0.14986463727971122,0.6617913136756839,0.5084636244140859,471,0.19995808764356426,A,5,female
factor(wu_f)8,0.2678923896349046,0.1671486100442081,1.6027198165994403,0.10973943845239807,471,0.19995808764356426,A,5,female
factor(wu_f)9,0.10495335251222683,0.25243930488589755,0.41575677987097015,0.6777978297896452,471,0.19995808764356426,A,5,female
calories,-1.3386492476166926e-4,2.570407015194064e-4,-0.5207927148127649,0.6027823983623959,471,0.19995808764356426,A,5,female
carbs,-1.329954650212513e-5,0.0011294616767088673,-0.011775119755172758,0.990610556186462,471,0.19995808764356426,A,5,female
fat,3.3162426364268297e-4,0.0022163921184446505,0.1496234627812157,0.881132672476902,471,0.19995808764356426,A,5,female
protein,0.0044674575959068475,0.002647752561128179,1.6872640070276477,0.09228633325012349,471,0.19995808764356426,A,5,female
diet_guide,-0.03643046689700782,0.06259231447774188,-0.5820277968785235,0.5608565641265234,471,0.19995808764356426,A,5,female
diet_hifat,0.00497000769326861,0.12419366218572757,0.040018207095271305,0.9680974025269381,471,0.19995808764356426,A,5,female
diet_hlthy,0.5410193406496743,0.49532346425761564,1.0922546168099405,0.2753399701448061,471,0.19995808764356426,A,5,female
(Intercept),3.8655983882804583,0.8360489336230105,4.623650880731255,5.013349557827301e-6,471,0.2007440426325814,A,6,female
height,0.014119218794452604,0.0049437261636264525,2.8559872305094465,0.00450117718872811,471,0.2007440426325814,A,6,female
bmi_under,0.03831519006822202,0.0610544358077753,0.6275578434440723,0.5306314469882303,471,0.2007440426325814,A,6,female
bmi_over,-0.354469712867883,0.18174517923525849,-1.9503665206384524,0.051790989190655924,471,0.2007440426325814,A,6,female
edu_years,0.01577920770627531,0.014342687556134699,1.100156971593945,0.2718879516432464,471,0.2007440426325814,A,6,female
hlth_exc,0.21324060940113504,0.12261510215550996,1.7391055885651574,0.0827419617302662,471,0.2007440426325814,A,6,female
hlth_good,0.1980051116092036,0.11236834141299742,1.7621076285308659,0.07877164581027195,471,0.2007440426325814,A,6,female
hlth_fair,0.18000135868775458,0.1235688034134992,1.4566893399899221,0.14594228113978125,471,0.2007440426325814,A,6,female
married,-0.05615281094556299,0.08672006526395122,-0.6475180890910287,0.5176471238842428,471,0.2007440426325814,A,6,female
divorced,-0.04990166326457018,0.141302810367485,-0.3531540748184085,0.724148443846978,471,0.2007440426325814,A,6,female
widowed,-0.11399911899082739,0.17969580293578774,-0.6344005654465045,0.5261615730472247,471,0.2007440426325814,A,6,female
separated,0.20051495431620595,0.2850538493030641,0.7034283340023312,0.4821749350639605,471,0.2007440426325814,A,6,female
province_f23,-0.060129085353017274,0.10146912940319396,-0.5925850128672198,0.5537748075638338,471,0.2007440426325814,A,6,female
province_f32,0.17493029199432078,0.10063046133904718,1.738343337261869,0.08287626829378102,471,0.2007440426325814,A,6,female
province_f37,0.05624686935607992,0.13862057707440334,0.4057613273813593,0.6851226579901886,471,0.2007440426325814,A,6,female
province_f41,-0.07275495699456803,0.1275867118255041,-0.570239298071044,0.5688174450362822,471,0.2007440426325814,A,6,female
province_f42,-0.006444384412162102,0.09789501450222875,-0.06582954652931161,0.9475445597664287,471,0.2007440426325814,A,6,female
province_f43,0.11766959014194546,0.11814817223472293,0.9959493059966541,0.31984281185736124,471,0.2007440426325814,A,6,female
province_f45,0.06052477875182662,0.09744629598412989,0.6211090749071025,0.5348616124400216,471,0.2007440426325814,A,6,female
province_f52,0.028010269341786673,0.11229376657754032,0.24943743713899927,0.8031432232828006,471,0.2007440426325814,A,6,female
age,0.008273470321006776,0.004398830095228853,1.8808342540850835,0.06067955682560919,471,0.2007440426325814,A,6,female
smoke,0.026107468987508438,0.247193418435635,0.10561555057869142,0.9159373330282925,471,0.2007440426325814,A,6,female
drink,0.04428443725516956,0.06935468999665355,0.6385211621204903,0.5234792195124086,471,0.2007440426325814,A,6,female
factor(occ_f)2,-0.1625757280469989,0.07549630246041214,-2.1534263632612793,0.03184838957774791,471,0.2007440426325814,A,6,female
factor(occ_f)3,0.06787955120127794,0.1493792090066731,0.45441096958978816,0.6497655971777534,471,0.2007440426325814,A,6,female
factor(occ_f)4,-0.24652501205608765,0.10270019398274423,-2.400433752807799,0.016805788443932535,471,0.2007440426325814,A,6,female
factor(occ_f)6,-0.2235998336302376,0.16583944865334826,-1.3482909853229494,0.17828460974891153,471,0.2007440426325814,A,6,female
factor(occ_f)7,-0.3021522123988008,0.1316438778029915,-2.2952241869612764,0.02220778711040512,471,0.2007440426325814,A,6,female
factor(occ_f)8,0.6120017018238924,0.20679343372372694,2.959483242787669,0.003254309638739337,471,0.2007440426325814,A,6,female
factor(occ_f)11,-0.49647936239338236,0.11203884053479289,-4.431314712143992,1.1939822809710391e-5,471,0.2007440426325814,A,6,female
factor(occ_f)12,-0.43837535210077566,0.3980895499803748,-1.101197838833968,0.27143530113101155,471,0.2007440426325814,A,6,female
factor(occ_f)13,0.14442948407389494,0.30238782449702334,0.4776299585280316,0.6331597296376561,471,0.2007440426325814,A,6,female
factor(wu_f)2,0.2589285203350592,0.13546765592516385,1.9113678358625958,0.056631232115331186,471,0.2007440426325814,A,6,female
factor(wu_f)3,0.1353921900376291,0.14526679978603635,0.932024318268513,0.35185435502930285,471,0.2007440426325814,A,6,female
