term,estimate,std.error,statistic,p.value,panel,model,gender,n_obs
height,0.00100708476710149,0.00939804739944101,0.10715893677673842,0.9146628914964011,B,1,female,990
weight,-0.010782449189781815,0.00604704495412148,-1.7830939362262932,0.07457101336365951,B,1,female,990
edu_years,0.09545086145864864,0.014520114180048886,6.573699095961743,4.908036968747297e-11,B,1,female,990
hlth_exc,0.6776252465828406,0.2481133139472851,2.73111198993058,0.006312101854094462,B,1,female,990
hlth_good,0.43236275322674156,0.22402545755969527,1.9299715217032036,0.053610366450154254,B,1,female,990
hlth_fair,0.39093218040641625,0.22993913871037,1.7001550175363236,0.08910177084639707,B,1,female,990
married,0.5194849869575744,0.1758538882261105,2.954071656861108,0.003136111774318744,B,1,female,990
divorced,0.5781228989957422,0.3169907880092177,1.8237845415840006,0.06818465179811989,B,1,female,990
widowed,0.8517201376398489,0.5440640845650192,1.5654776005308302,0.11747096549627412,B,1,female,990
separated,-0.4369129786535018,0.5869385165946964,-0.7443930945073878,0.45663869544325214,B,1,female,990
province_f23,0.08523241161192514,0.18551524802558833,0.45943615157805756,0.6459209924183809,B,1,female,990
province_f32,0.2695036252817975,0.17506346591044397,1.5394624108474217,0.1236914477591936,B,1,female,990
province_f37,0.2622028588241112,0.1814749068979382,1.4448436056868985,0.1485018196856581,B,1,female,990
province_f41,-0.4364485889935995,0.191969298447678,-2.2735332812218165,0.022994062891198288,B,1,female,990
province_f42,-0.17671320042028063,0.18226600573276242,-0.96953460800242,0.33227852159738586,B,1,female,990
province_f43,-0.6153784475716875,0.1632733141105728,-3.7690081255711982,1.6389755272281395e-4,B,1,female,990
province_f45,0.03826008669262219,0.18183247424621615,0.2104139365161741,0.8333446163591317,B,1,female,990
province_f52,-0.0036813416701108686,0.18545920716770803,-0.019849872790526305,0.9841631329736935,B,1,female,990
age,-0.008611624657035308,0.007851145761827915,-1.0968621546812725,0.27270165471553476,B,1,female,990
