term,estimate,std.error,tau,panel,gender,n_obs
province_f23:cohort_f5,0.029205704146826304,0.33696704358209295,0.5,A,female,471
province_f32:cohort_f5,0.3684546316263162,0.33024373338065904,0.5,A,female,471
province_f37:cohort_f5,0.24312017034033317,1.6888318710052077,0.5,A,female,471
province_f41:cohort_f5,0.4751568740454857,0.4779774672288593,0.5,A,female,471
province_f42:cohort_f5,0.3245929444346679,0.4470056956443527,0.5,A,female,471
province_f43:cohort_f5,1.008104061065491,0.4338573728453624,0.5,A,female,471
province_f45:cohort_f5,0.21736976973970415,0.4152978648036591,0.5,A,female,471
province_f52:cohort_f5,0.5682115512718047,0.44738150360973156,0.5,A,female,471
(Intercept),4.135435964206819,1.256250233135811,0.7,A,female,471
height,0.010999266752194658,0.006318488862952564,0.7,A,female,471
bmi_under,0.021538723853035745,0.07884604743270886,0.7,A,female,471
bmi_over,-0.13978353777513958,0.07609986749269719,0.7,A,female,471
edu_years,0.01989569180639291,0.013219902874632474,0.7,A,female,471
hlth_exc,0.25797343290580915,0.22067627057643865,0.7,A,female,471
hlth_good,0.22792316841375407,0.20913515358176782,0.7,A,female,471
hlth_fair,0.171534545980854,0.21491746915291715,0.7,A,female,471
married,-0.011854600760956275,0.13191695222764263,0.7,A,female,471
divorced,0.02354318650530597,0.17001549082956802,0.7,A,female,471
widowed,0.12311925532354459,0.3604115501280596,0.7,A,female,471
separated,0.8356943702380385,0.5709437444457033,0.7,A,female,471
province_f23,0.23985875563312797,0.27358319332678993,0.7,A,female,471
province_f32,0.4045922123766995,0.2976402536321534,0.7,A,female,471
province_f37,3.1050617818485096,1.6686859648667764,0.7,A,female,471
province_f41,-0.6080254588692701,0.491003103150967,0.7,A,female,471
province_f42,0.19536236775487306,0.5380505878111046,0.7,A,female,471
province_f43,-0.5486606241198605,0.5216787685455028,0.7,A,female,471
province_f45,0.3956710176613948,0.40711294583043084,0.7,A,female,471
province_f52,0.13689022376374654,0.35580350459513127,0.7,A,female,471
age,0.013943096798361582,0.013355842903454391,0.7,A,female,471
smoke,0.1427137502301016,0.40206208400972343,0.7,A,female,471
drink,0.029900104601818096,0.09862272389221498,0.7,A,female,471
factor(occ_f)2,-0.08379310062307839,0.10832414503748246,0.7,A,female,471
factor(occ_f)3,0.23268717445102266,0.22520853607619104,0.7,A,female,471
factor(occ_f)4,-0.019399817856473,0.1281521728645888,0.7,A,female,471
factor(occ_f)6,-0.17850616494523597,0.18841701261961818,0.7,A,female,471
factor(occ_f)7,-0.2375064651870836,0.16501497344086974,0.7,A,female,471
factor(occ_f)8,0.2636733344012756,0.2962822014763507,0.7,A,female,471
factor(occ_f)11,-0.4336564176363964,0.16215986688760825,0.7,A,female,471
factor(occ_f)12,0.23200862965063404,0.6862712282907639,0.7,A,female,471
factor(occ_f)13,0.13893655667963606,0.520915939056811,0.7,A,female,471
factor(wu_f)2,0.18633623206164304,0.17693189955843483,0.7,A,female,471
factor(wu_f)3,0.0838907287277525,0.19249303275564603,0.7,A,female,471
factor(wu_f)4,-0.20217164549616315,0.24641966052108177,0.7,A,female,471
factor(wu_f)5,-0.25928245866022426,0.23154381108720495,0.7,A,female,471
factor(wu_f)7,0.04631084231617035,0.19245885225743242,0.7,A,female,471
factor(wu_f)8,0.14014040557950555,0.2508913902925666,0.7,A,female,471
factor(wu_f)9,-0.29582823274005154,0.34367129455873985,0.7,A,female,471
calories,-5.737534019006715e-4,9.460592359001586e-4,0.7,A,female,471
carbs,0.0016165104269042067,0.003840424579918879,0.7,A,female,471
fat,0.004611286770641331,0.00870232353444922,0.7,A,female,471
protein,0.005302274707541447,0.0048838646383296035,0.7,A,female,471
diet_guide,0.003458477412124786,0.07629198796719867,0.7,A,female,471
diet_hifat,-0.03456946668829054,0.1577515120268905,0.7,A,female,471
diet_hlthy,-0.06690826491258257,1.14349500597214,0.7,A,female,471
province_f21:cohort_f3,0.09044625953724192,0.27265025920915525,0.7,A,female,471
province_f23:cohort_f3,-0.20976556794206236,0.18887634305560722,0.7,A,female,471
province_f32:cohort_f3,-0.07723556976108013,0.34481835608265154,0.7,A,female,471
province_f37:cohort_f3,-3.0773351513044993,1.5957965395026126,0.7,A,female,471
province_f41:cohort_f3,0.7649155225560711,0.4634529287211377,0.7,A,female,471
province_f42:cohort_f3,-0.1849370880598404,0.4927783738921177,0.7,A,female,471
province_f43:cohort_f3,0.4444523134515437,0.4956786477393118,0.7,A,female,471
province_f45:cohort_f3,-0.3322115317873477,0.3684831876948454,0.7,A,female,471
province_f52:cohort_f3,-0.08245445537824625,0.33329237005680845,0.7,A,female,471
province_f21:cohort_f4,0.29967114196908584,0.2921148953421818,0.7,A,female,471
province_f23:cohort_f4,-0.15499034845643714,0.22827646632775825,0.7,A,female,471
province_f32:cohort_f4,-0.08878372599294582,0.27097174211402314,0.7,A,female,471
province_f37:cohort_f4,-2.761979604909494,1.6357879708976302,0.7,A,female,471
province_f41:cohort_f4,0.7564590269137745,0.4718733007734873,0.7,A,female,471
province_f42:cohort_f4,-0.1940559429586346,0.49575703811121824,0.7,A,female,471
province_f43:cohort_f4,1.1303590629837208,0.5617314570133327,0.7,A,female,471
province_f45:cohort_f4,-0.1590640112537315,0.41264914673013714,0.7,A,female,471
